respondent_id,I enjoy being around old people.,I fear that when I am old all of my friends will be gone.,I like to go visit my older relatives.,I have never lied about my age in order to appear younger.,I fear it will be very hard for me to find contentment in old age.,"The older I become, the more I worry about my health.",I will have plenty to occupy my time when I am old.,I get nervous when I think about someone else making decisions for me when I am old.,It doesn't bother me at all to imagine myself as being old.,I enjoy talking with old people.,I expect to feel good about life when I am old.,I have never dreaded the day I would look in the mirror and see gray hairs.,I feel very comfortable when I am around an old person.,I worry that people will ignore me when I am old.,I have never dreaded looking old.,I believe that I will still be able to do most things for myself when I am old.,I am afraid that there will be no meaning in life when I am old.,I expect to feel good about myself when I am old.,I enjoy doing things for old people.,"When I look in the mirror, it bothers me to see how my looks have changed with age."
R_3hxT6zUG7YN7ToR,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat agree
R_XU3TEb2MVRgDmE1,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,Neither agree nor disagree
R_djrXeKvk3Yyj8LD,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,Strongly disagree
R_2s4jqfM06qG2a8y,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree
R_2YWy0fi18vyjykm,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,Strongly disagree
R_12ukZG5D6hWTEcJ,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Strongly agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree
R_3KMBbuiM55IrkpY,Neither agree nor disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree
R_oYsCMz8oHw1bvDb,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree
R_Ckpav25wXJuefDP,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree,Neither agree nor disagree
R_3smKy3k5ZFewqpZ,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree
R_2xDFZIRgOnGLuz5,Somewhat agree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat disagree
R_264NBWeFENs9tQd,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree
R_3hlTH8Q3bBro5ki,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree
R_1i22eOWu41FbHwy,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Neither agree nor disagree
R_2AFFwgHfnNWrfdP,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat agree
R_1DMV4h1mtSOmAZu,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
R_2zShH7VGk0GGR66,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
R_2wAcy90mVKvEczM,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree
R_1DqX9JgqYpjqteY,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree
R_2BgkeCD28gLORj2,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly disagree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat disagree
R_2cu8eFy8oG40zjl,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat disagree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree
R_2PkghjHS7zr8mHt,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree
R_1oAAYv0fwaiktmL,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Strongly agree,Neither agree nor disagree
R_3hhlankvD2Zhzyi,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree
R_2xFweGhJLAzq67w,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree
R_2X4pWFHdnuwhjGl,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
R_1Lh4K1EjpnRs3iE,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
R_1BNzNd3avdtX59n,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree
R_PBPJ3yIr9mYT4ul,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree
R_2VHZB37iIOcNPPd,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree
R_SZyRPzLJzog9a9z,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Somewhat agree
R_3D5Uhf7xPgqNAd4,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Strongly agree,Strongly disagree,Somewhat agree,Strongly agree
R_3fP575Tw6XFk2ZQ,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
R_1KpwrwuYFht9QlF,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree
R_1li4lD3uv2VDZUW,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree
R_UsBspFZ1keMn25H,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat disagree
R_xaozzMeqeedTytb,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly disagree
R_2qyqPAm16Pb5kVe,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree
R_3noNQjsySx9r78f,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly disagree,Somewhat disagree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree
R_SAXGm8X0fNaBokx,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree
R_AoYsJoylwmh036x,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree
R_25LRQB6uCd0niOP,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree
R_1IJYQ0FxrzNyXgs,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Neither agree nor disagree
R_1IGKuHpqNgRsv3A,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly disagree
R_WATTDuUCKWZ7kGt,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
