respondent_id,Do you consider yourself to be an older adult?,I have heard _______________ about age discrimination.,In recent years I have been discriminated against or treated more negatively by others because of my older age.,In recent years I have avoided certain social settings out of concern that I might be treated negatively because of my age.,Age discrimination is too often excused.,Age discrimination is a major problem in our society.,I have had experiences with age discrimination that have caused me mental or emotional stress.,Age discrimination is taken too seriously.,Have you or anyone you know ever seen or been the target of discrimination in the workplace based on older age?,Have you or anyone you know ever seen or been the target of discrimination based on older age while applying or interviewing for jobs?,Have you or anyone you know ever seen discriminatory depictions of older age in product marketing or advertisements?,Have you or anyone you know ever seen discriminatory depictions of older age in television shows or movies?,How acceptable do you believe it is for organizations to use age-related information in algorithms to show you targeted ads for products and services?,How acceptable do you believe it is for organizations to use age-related information in algorithms to review employment applications?,How acceptable do you believe it is for organizations to use age-related information in algorithms to review applications for social services?,Have you ever been aware of an automated algorithm used to review an application of yours for a job or employment?,Have you ever been aware of an automated algorithm used to present you with a product advertisement?,Have you ever been aware of an automated algorithm used to review an application of yours for a public or social service?
R_3fP575Tw6XFk2ZQ,Yes,Some,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Yes,Yes,Yes,Yes,Somewhat acceptable,Not at all acceptable,Not very acceptable,Yes,Yes,Yes
R_1KpwrwuYFht9QlF,No,Some,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,No,Yes,Yes,Yes,Somewhat acceptable,Somewhat acceptable,Not very acceptable,Yes,Yes,No
R_1li4lD3uv2VDZUW,Yes,A little,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,No,Yes,Yes,Yes,Not very acceptable,Not at all acceptable,Not at all acceptable,No,Yes,No
R_UsBspFZ1keMn25H,Yes,Some,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,No,No,Yes,Yes,Not very acceptable,Not at all acceptable,Somewhat acceptable,No,No,No
R_xaozzMeqeedTytb,Yes,Some,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,No,Yes,No,Yes,Somewhat acceptable,Not at all acceptable,Somewhat acceptable,Yes,Yes,No
R_2qyqPAm16Pb5kVe,Yes,A little,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,No,No,Yes,Yes,Not very acceptable,Not at all acceptable,Not very acceptable,No,No,No
R_3noNQjsySx9r78f,No,Some,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,No,No,No,Yes,Not very acceptable,Not at all acceptable,Not at all acceptable,No,Yes,No
R_SAXGm8X0fNaBokx,Yes,Nothing,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,No,No,No,No,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,No,No,No
R_AoYsJoylwmh036x,Yes,Some,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,No,No,Yes,No,Somewhat acceptable,Somewhat acceptable,Not very acceptable,No,No,No
R_25LRQB6uCd0niOP,Yes,Some,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Yes,No,Yes,Yes,Not very acceptable,Not at all acceptable,Somewhat acceptable,No,Yes,No
R_1IJYQ0FxrzNyXgs,Yes,Some,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,No,No,No,No,Not very acceptable,Not very acceptable,Not very acceptable,No,No,No
R_1IGKuHpqNgRsv3A,Yes,A little,Strongly disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat disagree,Yes,No,No,No,Somewhat acceptable,Not very acceptable,Somewhat acceptable,No,Yes,No
R_WATTDuUCKWZ7kGt,Yes,Some,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,No,No,No,No,Not very acceptable,Somewhat acceptable,Somewhat acceptable,No,No,No
R_3Ppi5OxmkRn4BHO,Yes,A little,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Yes,Yes,Yes,No,Not very acceptable,Not very acceptable,Not very acceptable,Yes,Yes,Yes
R_1NwAxruExoyiPmh,No,Some,Strongly disagree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Somewhat agree,No,No,No,No,Not very acceptable,Not at all acceptable,Not at all acceptable,Yes,No,No
R_2vYZYBg3WNdSun8,Yes,Nothing,Somewhat agree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly disagree,No,No,No,No,Somewhat acceptable,Not at all acceptable,Not at all acceptable,No,Yes,No
R_3iVlRj2JplVpipu,Yes,Some,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,No,Yes,No,No,Not very acceptable,Not very acceptable,Not very acceptable,No,No,No
R_1N2Gk2S31EYcd6V,Yes,A great deal,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,Yes,Yes,No,Yes,Not very acceptable,Not at all acceptable,Somewhat acceptable,No,Yes,Yes
R_WiJQOfnJDQV40Kt,Yes,Some,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,No,No,Yes,Yes,Somewhat acceptable,Not very acceptable,Not very acceptable,No,No,No
R_8jlLpim52ADcdvH,Yes,A little,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,No,No,No,No,Somewhat acceptable,Not very acceptable,Not very acceptable,No,No,No
R_1HUWB9OUpoLsb85,No,A great deal,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Strongly disagree,Strongly disagree,No,No,Yes,Yes,Not very acceptable,Not at all acceptable,Not at all acceptable,No,Yes,No
R_2qxFYuPq5uhWZc2,Yes,Some,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Yes,Yes,Yes,No,Not very acceptable,Not at all acceptable,Somewhat acceptable,No,No,No
R_6thuPBQlqPBThNn,Yes,A great deal,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,No,No,No,Yes,Not very acceptable,Not at all acceptable,Somewhat acceptable,No,No,No
R_sTBsVGLwabVrOEx,Yes,A great deal,Somewhat disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Yes,Yes,Yes,Yes,Somewhat acceptable,Not at all acceptable,Somewhat acceptable,No,No,No
R_1rxAD567hiwFbjA,Yes,A little,Strongly disagree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Neither agree nor disagree,No,No,No,No,Not very acceptable,Not very acceptable,Not very acceptable,No,No,No
R_1OYLVNrLGMExf0b,Yes,A great deal,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Yes,Yes,Yes,Yes,Not very acceptable,Not at all acceptable,Not at all acceptable,No,Yes,No
R_r9o18eVBHlLRU2J,Yes,A little,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,No,No,No,No,Not very acceptable,Not at all acceptable,Somewhat acceptable,No,No,No
R_2as4UmC9fyw0RRl,Yes,Some,Strongly disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Somewhat agree,No,No,No,No,Not very acceptable,Somewhat acceptable,Very acceptable,No,No,No
R_1XsXDa7xidkxEtP,No,A great deal,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Neither agree nor disagree,No,No,No,No,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,Yes,Yes,No
R_2ZEwAyRpJV4TYu8,Yes,A little,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat disagree,No,No,No,Yes,Not at all acceptable,Not at all acceptable,Somewhat acceptable,No,No,No
R_2R9xpsSEZyV8lde,Yes,A little,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,No,No,No,No,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,No,Yes,No
R_3imYcWlmQnstnAD,Yes,A little,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,No,No,No,No,Not very acceptable,Not very acceptable,Not very acceptable,No,No,No
R_3QGaeiPkGvOtwA2,Yes,Some,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,No,No,No,No,Somewhat acceptable,Not very acceptable,Somewhat acceptable,No,No,No
R_szYTLzDg5nNHFrH,Yes,Nothing,Strongly disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,No,No,No,No,Somewhat acceptable,Not very acceptable,Not very acceptable,No,No,No
R_3HCgz2GFveFwgI9,Yes,Some,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,No,No,No,Yes,Not at all acceptable,Not at all acceptable,Not at all acceptable,No,No,No
R_0Du2zxNGDtmSP3r,Yes,Some,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Yes,Yes,Yes,Yes,Very acceptable,Very acceptable,Very acceptable,Yes,Yes,Yes
R_3s7C7lCMEKWloJg,Yes,Some,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Yes,Yes,Yes,Yes,Somewhat acceptable,Somewhat acceptable,Not very acceptable,No,Yes,Yes
R_2BsNEOv9GvYQTB0,Yes,Nothing,Strongly disagree,Strongly disagree,Strongly agree,Somewhat agree,Strongly disagree,Neither agree nor disagree,No,Yes,No,Yes,Somewhat acceptable,Not very acceptable,Not very acceptable,No,Yes,No
R_268sez2RlTMqX3y,Yes,A little,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,No,No,No,Yes,Somewhat acceptable,Not very acceptable,Somewhat acceptable,No,Yes,No
R_qwmnzb4bPmEmXxT,Yes,Nothing,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,No,Yes,No,No,Not at all acceptable,Not at all acceptable,Not at all acceptable,No,No,No
R_1ihuDojJrcpXLNg,Yes,A little,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Somewhat agree,No,No,No,Yes,Not very acceptable,Not very acceptable,Not very acceptable,No,Yes,No
R_1LAqRAUIPhGnVl3,Yes,A great deal,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat disagree,No,No,Yes,Yes,Somewhat acceptable,Not at all acceptable,Very acceptable,No,No,No
R_1dyq5MsaLv9kEMH,Yes,A great deal,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Yes,Yes,No,No,Very acceptable,Very acceptable,Somewhat acceptable,No,Yes,Yes
R_26nqwtkjA3Kiv6h,Yes,A little,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat disagree,No,No,No,No,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,No,No,No
R_2DMjv1AWbwHBuiv,Yes,Some,Somewhat disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,No,No,No,No,Not at all acceptable,Not very acceptable,Not very acceptable,No,Yes,No
R_1q1U49NE2TnPlq2,Yes,Some,Somewhat disagree,Strongly disagree,Somewhat agree,Strongly agree,Strongly disagree,Somewhat disagree,No,No,Yes,Yes,Somewhat acceptable,Not very acceptable,Not at all acceptable,No,Yes,No
R_3k5jusWutxjfG31,Yes,A little,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,No,No,No,No,Somewhat acceptable,Not at all acceptable,Not at all acceptable,Yes,Yes,No
R_3CIYnwQTsAhPSbN,Yes,A great deal,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly disagree,Yes,Yes,No,Yes,Somewhat acceptable,Not at all acceptable,Not at all acceptable,Yes,Yes,No
R_2Vg5bqPZwkwHHBa,Yes,Nothing,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,No,No,No,No,Very acceptable,Very acceptable,Very acceptable,No,No,No
R_3kyWmXAI1tOHq00,Yes,Some,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,No,No,No,No,Not very acceptable,Not very acceptable,Not very acceptable,No,No,No
R_vkLAexhj1QLknDj,Yes,Some,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Yes,Yes,Yes,Yes,Somewhat acceptable,Not at all acceptable,Not very acceptable,Yes,Yes,Yes
R_1rGHrE4AeR5OVtc,Yes,A great deal,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Yes,Yes,Yes,Yes,Not very acceptable,Not at all acceptable,Not at all acceptable,No,No,No
R_3246INTEk1hGGZt,Yes,Some,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Neither agree nor disagree,No,No,No,No,Somewhat acceptable,Not very acceptable,Somewhat acceptable,No,No,No
R_2EskES6M2p6Opai,Yes,Some,Strongly disagree,Strongly disagree,Somewhat agree,Strongly agree,Strongly disagree,Strongly disagree,No,No,Yes,No,Not at all acceptable,Not at all acceptable,Not at all acceptable,No,No,No
R_1g72HUHOwnA1jKx,Yes,Some,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Yes,Yes,Yes,No,Not very acceptable,Not at all acceptable,Not very acceptable,No,Yes,No
R_yn1cNTcWmiuzCMN,Yes,A little,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,No,No,No,No,Somewhat acceptable,Not very acceptable,Somewhat acceptable,No,No,No
R_9SkVdLNADEuPedb,Yes,Some,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,No,No,No,No,Somewhat acceptable,Not very acceptable,Somewhat acceptable,No,No,No
R_1gA2C1ea7peyPEd,Yes,Some,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,No,No,No,No,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,No,No,No
R_eFB3dtl1ojJmk7L,Yes,Nothing,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Somewhat disagree,No,No,Yes,Yes,Somewhat acceptable,Not at all acceptable,Somewhat acceptable,No,No,No
R_9QUcmMseiL82Tzb,Yes,A great deal,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Yes,No,No,No,Not very acceptable,Somewhat acceptable,Somewhat acceptable,No,No,No
R_pF1ojzuWBJFkpix,Yes,A great deal,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Yes,Yes,Yes,Yes,Somewhat acceptable,Not at all acceptable,Not very acceptable,No,No,No
R_dg4mKjxapFjCEI9,Yes,A little,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Yes,Yes,Yes,Yes,Somewhat acceptable,Not at all acceptable,Not at all acceptable,No,Yes,No
R_aXDWsVHl8E02orn,Yes,A little,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,No,No,No,Yes,Not very acceptable,Not very acceptable,Somewhat acceptable,No,No,No
R_3et3GmsRqgecein,No,A great deal,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Yes,Yes,No,Yes,Somewhat acceptable,Not very acceptable,Not very acceptable,No,No,No
R_247yX84yrbT0iqx,Yes,A little,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,No,No,No,No,Somewhat acceptable,Not very acceptable,Somewhat acceptable,No,No,No
R_2zJ8wheXFgUtsp2,Yes,Some,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat disagree,No,No,No,No,Somewhat acceptable,Not very acceptable,Somewhat acceptable,No,No,No
R_2wNNYzW8Z7SWUZW,Yes,A little,Strongly disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,Strongly disagree,Strongly agree,No,No,No,No,Not at all acceptable,Not at all acceptable,Not at all acceptable,No,Yes,No
R_2ClTArPS96xhfHO,Yes,Some,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,No,No,No,No,Somewhat acceptable,Not at all acceptable,Not at all acceptable,No,No,No
R_12AtjOkKwuBsz87,Yes,A great deal,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Yes,Yes,No,No,Somewhat acceptable,Not very acceptable,Not very acceptable,Yes,No,No
R_1hygt8O4ZUrRDeZ,Yes,A little,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,No,No,Yes,Yes,Very acceptable,Not at all acceptable,Somewhat acceptable,No,Yes,No
R_1kMRgKR34y1nRtI,Yes,A great deal,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,No,Yes,No,No,Somewhat acceptable,Not at all acceptable,Not very acceptable,No,No,No
R_1rw8yKhSA3W9qXC,No,A little,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,No,No,No,No,Not at all acceptable,Not at all acceptable,Not at all acceptable,No,Yes,No
R_2f8uW5FB7wgfYzX,Yes,Nothing,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,No,No,No,No,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,No,No,No
R_2bI8608QhIEuTYk,No,Some,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat disagree,No,Yes,Yes,Yes,Not very acceptable,Not very acceptable,Not very acceptable,Yes,No,No
R_bIRIZknxYfaajC1,No,Some,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,No,Yes,Yes,Yes,Not very acceptable,Not very acceptable,Not at all acceptable,No,No,No
R_2SkpVgUK9mkSGWk,Yes,A little,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Yes,No,No,No,Not very acceptable,Not very acceptable,Not very acceptable,No,No,No
R_3ReJor4p8tOuxPQ,Yes,Some,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat disagree,Yes,Yes,Yes,Yes,Somewhat acceptable,Not very acceptable,Somewhat acceptable,Yes,Yes,No
R_1Lk63peQdqZUCJx,Yes,Some,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,No,Yes,No,Yes,Not at all acceptable,Not at all acceptable,Not at all acceptable,Yes,Yes,No
R_2fK8RPzSklf70Rb,Yes,Some,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,No,Yes,No,Yes,Somewhat acceptable,Not at all acceptable,Somewhat acceptable,No,No,No
R_yQpXk9lB6Ln0grn,Yes,A great deal,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Yes,Yes,Yes,Yes,Not at all acceptable,Not at all acceptable,Not at all acceptable,No,No,No
R_30nI9buMjsI2mYF,Yes,A great deal,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly disagree,Yes,Yes,Yes,Yes,Somewhat acceptable,Not at all acceptable,Somewhat acceptable,No,Yes,Yes
R_1rrewaxox6bmxCA,Yes,A great deal,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly disagree,Yes,Yes,No,No,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,No,No,No
R_1dayMhoh6zi7aU3,Yes,Nothing,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,No,No,No,No,Not very acceptable,Somewhat acceptable,Somewhat acceptable,No,No,No
R_0iIREyvpIFthqTf,No,A little,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat disagree,Yes,Yes,Yes,No,Not at all acceptable,Not at all acceptable,Not at all acceptable,No,No,No
